artist_name,image_url,source_page_url,source_site,page_title,alt_text,caption_or_context,width,height,confidence,notes
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/f/fe/Berlin_Hauptbahnhof_%28Central_Train_Station%29.jpg,https://commons.wikimedia.org/wiki/File:Berlin Hauptbahnhof (Central Train Station).jpg,wikimedia commons,File:Berlin Hauptbahnhof (Central Train Station).jpg,File:Berlin Hauptbahnhof (Central Train Station).jpg,commons search result,5472,3648,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/3/3f/Berlin_IV_Ring%2C_Wettbewerb_1975%2C_Axonometrie.jpg,"https://commons.wikimedia.org/wiki/File:Berlin IV Ring, Wettbewerb 1975, Axonometrie.jpg",wikimedia commons,"File:Berlin IV Ring, Wettbewerb 1975, Axonometrie.jpg","File:Berlin IV Ring, Wettbewerb 1975, Axonometrie.jpg",commons search result,1864,2020,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/4/41/Berl%C3%ADn%2C_2016_%2830337245265%29.jpg,"https://commons.wikimedia.org/wiki/File:Berlín, 2016 (30337245265).jpg",wikimedia commons,"File:Berlín, 2016 (30337245265).jpg","File:Berlín, 2016 (30337245265).jpg",commons search result,3000,2000,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/b/b8/Berl%C3%ADn%2C_2016_%2830693513646%29.jpg,"https://commons.wikimedia.org/wiki/File:Berlín, 2016 (30693513646).jpg",wikimedia commons,"File:Berlín, 2016 (30693513646).jpg","File:Berlín, 2016 (30693513646).jpg",commons search result,1620,1080,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/4/4c/Berl%C3%ADn_%2827677929025%29.jpg,https://commons.wikimedia.org/wiki/File:Berlín (27677929025).jpg,wikimedia commons,File:Berlín (27677929025).jpg,File:Berlín (27677929025).jpg,commons search result,1620,1080,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/3/3d/Blue_Eye_to_Berlin%3B_%28IA_blueeyetoberlin00whin%29.pdf,https://commons.wikimedia.org/wiki/File:Blue Eye to Berlin; (IA blueeyetoberlin00whin).pdf,wikimedia commons,File:Blue Eye to Berlin; (IA blueeyetoberlin00whin).pdf,File:Blue Eye to Berlin; (IA blueeyetoberlin00whin).pdf,commons search result,637,1016,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/9/94/D1.03_Strategy_briefing_-_Berlin_Conference.pdf,https://commons.wikimedia.org/wiki/File:D1.03 Strategy briefing - Berlin Conference.pdf,wikimedia commons,File:D1.03 Strategy briefing - Berlin Conference.pdf,File:D1.03 Strategy briefing - Berlin Conference.pdf,commons search result,1500,843,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/8/8f/Elmer_B%C3%A4ck_Berlinale_2015.jpg,https://commons.wikimedia.org/wiki/File:Elmer Bäck Berlinale 2015.jpg,wikimedia commons,File:Elmer Bäck Berlinale 2015.jpg,File:Elmer Bäck Berlinale 2015.jpg,commons search result,1055,1130,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/e/e3/Jeff_Staple_by_foto-di-matti-3375.jpg,https://commons.wikimedia.org/wiki/File:Jeff Staple by foto-di-matti-3375.jpg,wikimedia commons,File:Jeff Staple by foto-di-matti-3375.jpg,File:Jeff Staple by foto-di-matti-3375.jpg,commons search result,250,375,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/6/68/John_B_Emerson%2C_Jeff_Hovenier_and_Klaus-Peter_Willsch%2C_2016.jpg,"https://commons.wikimedia.org/wiki/File:John B Emerson, Jeff Hovenier and Klaus-Peter Willsch, 2016.jpg",wikimedia commons,"File:John B Emerson, Jeff Hovenier and Klaus-Peter Willsch, 2016.jpg","File:John B Emerson, Jeff Hovenier and Klaus-Peter Willsch, 2016.jpg",commons search result,5616,3744,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/c/c7/Liev_Schreiber_at_the_2018_Berlin_Film_Festival.jpg,https://commons.wikimedia.org/wiki/File:Liev Schreiber at the 2018 Berlin Film Festival.jpg,wikimedia commons,File:Liev Schreiber at the 2018 Berlin Film Festival.jpg,File:Liev Schreiber at the 2018 Berlin Film Festival.jpg,commons search result,515,740,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/6/6d/Patoski_Berlin.jpg,https://commons.wikimedia.org/wiki/File:Patoski Berlin.jpg,wikimedia commons,File:Patoski Berlin.jpg,File:Patoski Berlin.jpg,commons search result,3024,4032,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/6/6b/Ruth_Acuff_Trio.jpg,https://commons.wikimedia.org/wiki/File:Ruth Acuff Trio.jpg,wikimedia commons,File:Ruth Acuff Trio.jpg,File:Ruth Acuff Trio.jpg,commons search result,1331,888,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/2/2a/Thai-German_in_Berlin_1943.jpg,https://commons.wikimedia.org/wiki/File:Thai-German in Berlin 1943.jpg,wikimedia commons,File:Thai-German in Berlin 1943.jpg,File:Thai-German in Berlin 1943.jpg,commons search result,742,449,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/2/25/Victor_Brandt_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Victor Brandt (cropped).jpg,wikimedia commons,File:Victor Brandt (cropped).jpg,File:Victor Brandt (cropped).jpg,commons search result,1737,2527,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/0/0e/Wes_Anderson_at_the_2018_Berlin_Film_Festival.jpg,https://commons.wikimedia.org/wiki/File:Wes Anderson at the 2018 Berlin Film Festival.jpg,wikimedia commons,File:Wes Anderson at the 2018 Berlin Film Festival.jpg,File:Wes Anderson at the 2018 Berlin Film Festival.jpg,commons search result,637,913,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/e/e0/Wes_Anderson_at_the_2018_Berlin_Film_Festival_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Wes Anderson at the 2018 Berlin Film Festival (cropped).jpg,wikimedia commons,File:Wes Anderson at the 2018 Berlin Film Festival (cropped).jpg,File:Wes Anderson at the 2018 Berlin Film Festival (cropped).jpg,commons search result,424,601,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/0/08/-087_-_The_Wall_%2826002400671%29.jpg,https://commons.wikimedia.org/wiki/File:-087 - The Wall (26002400671).jpg,wikimedia commons,File:-087 - The Wall (26002400671).jpg,File:-087 - The Wall (26002400671).jpg,commons search result,2448,2448,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/0/0d/1971_Chrysler_Three_Hundred_-_Flickr_-_denizen24_%281%29.jpg,https://commons.wikimedia.org/wiki/File:1971 Chrysler Three Hundred - Flickr - denizen24 (1).jpg,wikimedia commons,File:1971 Chrysler Three Hundred - Flickr - denizen24 (1).jpg,File:1971 Chrysler Three Hundred - Flickr - denizen24 (1).jpg,commons search result,1024,683,medium,from wikimedia commons search
